Station,Date,Available_bikes
10,02/01/2021 18:11,36
35,02/01/2021 18:11,0
250,02/01/2021 18:14,1
45,02/01/2021 18:08,18
83,02/01/2021 18:14,5
47,02/01/2021 18:14,3
231,02/01/2021 18:15,7
44,02/01/2021 18:12,9
171,02/01/2021 18:08,7
162,02/01/2021 18:14,15
31,02/01/2021 18:08,4
138,02/01/2021 18:12,8
216,02/01/2021 18:09,8
194,02/01/2021 18:06,0
98,02/01/2021 18:11,16
263,02/01/2021 18:08,8
16,02/01/2021 18:15,13
169,02/01/2021 18:10,13
39,02/01/2021 18:13,19
201,02/01/2021 18:15,1
198,02/01/2021 18:11,0
101,02/01/2021 18:13,9
258,02/01/2021 18:10,6
56,02/01/2021 18:14,0
159,02/01/2021 18:14,11
72,02/01/2021 18:10,8
146,02/01/2021 18:07,7
261,02/01/2021 18:11,6
151,02/01/2021 18:14,10
238,02/01/2021 18:13,13
80,02/01/2021 18:15,12
57,02/01/2021 18:15,9
269,02/01/2021 18:09,5
285,02/01/2021 18:15,10
58,02/01/2021 18:11,2
272,02/01/2021 18:08,9
95,02/01/2021 18:09,19
222,02/01/2021 18:11,5
92,02/01/2021 18:11,4
38,02/01/2021 18:07,26
140,02/01/2021 18:13,20
4,02/01/2021 18:14,8
136,02/01/2021 18:10,14
176,02/01/2021 18:12,9
142,02/01/2021 18:11,6
237,02/01/2021 18:14,3
28,02/01/2021 18:15,10
182,02/01/2021 18:06,7
94,02/01/2021 18:11,14
206,02/01/2021 18:11,2
127,02/01/2021 18:06,0
279,02/01/2021 18:11,6
88,02/01/2021 18:15,2
251,02/01/2021 18:08,1
226,02/01/2021 18:15,7
91,02/01/2021 18:13,10
122,02/01/2021 18:10,9
185,02/01/2021 18:09,3
27,02/01/2021 18:09,2
220,02/01/2021 18:10,4
209,02/01/2021 18:11,4
78,02/01/2021 18:14,11
26,02/01/2021 18:15,2
230,02/01/2021 18:08,8
149,02/01/2021 18:07,5
59,02/01/2021 18:07,9
42,02/01/2021 18:09,9
246,02/01/2021 18:14,13
219,02/01/2021 18:10,10
163,02/01/2021 18:08,13
99,02/01/2021 18:13,0
267,02/01/2021 18:09,9
113,02/01/2021 18:06,5
133,02/01/2021 18:09,14
148,02/01/2021 18:12,15
283,02/01/2021 18:09,12
167,02/01/2021 18:12,16
205,02/01/2021 18:15,7
265,02/01/2021 18:10,13
116,02/01/2021 18:11,4
86,02/01/2021 18:14,8
66,02/01/2021 18:13,4
34,02/01/2021 18:14,1
240,02/01/2021 18:15,6
119,02/01/2021 18:13,21
275,02/01/2021 18:10,0
18,02/01/2021 18:10,0
160,02/01/2021 18:13,14
282,02/01/2021 18:07,11
130,02/01/2021 18:14,14
12,02/01/2021 18:08,0
117,02/01/2021 18:08,8
43,02/01/2021 18:13,22
232,02/01/2021 18:13,10
61,02/01/2021 18:15,22
211,02/01/2021 18:11,4
165,02/01/2021 18:15,13
278,02/01/2021 18:06,2
270,02/01/2021 18:15,11
103,02/01/2021 18:12,13
17,02/01/2021 18:15,12
46,02/01/2021 18:15,6
218,02/01/2021 18:06,13
203,02/01/2021 18:13,15
132,02/01/2021 18:12,17
145,02/01/2021 18:05,19
32,02/01/2021 18:06,1
5,02/01/2021 18:14,13
110,02/01/2021 18:08,1
125,02/01/2021 18:08,11
63,02/01/2021 18:11,4
177,02/01/2021 18:08,7
73,02/01/2021 18:14,10
200,02/01/2021 18:13,3
14,02/01/2021 18:11,4
181,02/01/2021 18:08,14
50,02/01/2021 18:08,8
20,02/01/2021 18:13,0
155,02/01/2021 18:15,7
264,02/01/2021 18:08,5
256,02/01/2021 18:15,9
69,02/01/2021 18:09,4
157,02/01/2021 18:12,19
189,02/01/2021 18:13,11
55,02/01/2021 18:41,3
195,02/01/2021 18:43,8
29,02/01/2021 18:44,0
280,02/01/2021 18:44,12
156,02/01/2021 18:39,12
242,02/01/2021 18:38,2
224,02/01/2021 18:44,1
229,02/01/2021 18:40,3
154,02/01/2021 18:42,13
96,02/01/2021 18:40,12
65,02/01/2021 18:42,5
22,02/01/2021 18:38,8
236,02/01/2021 18:42,9
111,02/01/2021 18:41,7
152,02/01/2021 18:37,17
243,02/01/2021 18:41,15
174,02/01/2021 18:44,14
276,02/01/2021 18:37,3
77,02/01/2021 18:40,4
137,02/01/2021 18:39,12
144,02/01/2021 18:45,15
40,02/01/2021 18:42,10
25,02/01/2021 18:45,9
74,02/01/2021 18:37,7
71,02/01/2021 18:40,4
105,02/01/2021 18:41,9
64,02/01/2021 18:38,7
3,02/01/2021 18:43,0
93,02/01/2021 18:39,15
139,02/01/2021 18:43,13
81,02/01/2021 18:37,27
60,02/01/2021 18:44,20
36,02/01/2021 18:38,7
227,02/01/2021 18:37,1
248,02/01/2021 18:36,13
53,02/01/2021 18:43,3
187,02/01/2021 18:39,8
87,02/01/2021 18:42,6
225,02/01/2021 18:40,5
121,02/01/2021 18:42,4
84,02/01/2021 18:43,6
208,02/01/2021 18:38,4
131,02/01/2021 18:41,14
239,02/01/2021 18:45,17
1,02/01/2021 18:39,0
37,02/01/2021 18:44,11
7,02/01/2021 18:44,19
259,02/01/2021 18:40,12
234,02/01/2021 18:40,13
192,02/01/2021 18:45,3
48,02/01/2021 18:44,4
175,02/01/2021 18:45,20
266,02/01/2021 18:41,10
166,02/01/2021 18:43,3
135,02/01/2021 18:39,11
79,02/01/2021 18:37,6
210,02/01/2021 18:44,11
75,02/01/2021 18:37,5
115,02/01/2021 18:36,11
221,02/01/2021 18:41,10
128,02/01/2021 18:38,22
67,02/01/2021 18:42,13
188,02/01/2021 18:39,6
118,02/01/2021 18:40,7
178,02/01/2021 18:36,11
41,02/01/2021 18:43,7
90,02/01/2021 18:40,1
68,02/01/2021 18:43,1
147,02/01/2021 18:45,10
109,02/01/2021 18:41,3
153,02/01/2021 18:45,16
262,02/01/2021 18:42,8
197,02/01/2021 18:39,0
23,02/01/2021 18:38,7
273,02/01/2021 18:41,2
183,02/01/2021 18:41,12
126,02/01/2021 18:38,21
255,02/01/2021 18:37,14
233,02/01/2021 18:40,12
254,02/01/2021 18:37,11
21,02/01/2021 18:41,3
62,02/01/2021 18:45,0
244,02/01/2021 18:40,16
24,02/01/2021 18:43,7
245,02/01/2021 18:38,9
196,02/01/2021 18:37,8
281,02/01/2021 18:41,11
260,02/01/2021 18:40,10
228,02/01/2021 18:45,4
124,02/01/2021 18:45,11
207,02/01/2021 18:37,4
11,02/01/2021 18:38,3
186,02/01/2021 18:43,3
235,02/01/2021 18:40,12
288,02/01/2021 18:43,9
150,02/01/2021 18:38,18
252,02/01/2021 18:43,11
184,02/01/2021 18:42,7
271,02/01/2021 18:43,4
33,02/01/2021 18:41,1
161,02/01/2021 18:43,15
172,02/01/2021 18:35,10
120,02/01/2021 18:38,13
268,02/01/2021 18:43,0
217,02/01/2021 18:45,14
82,02/01/2021 18:44,10
173,02/01/2021 18:37,19
70,02/01/2021 18:42,9
141,02/01/2021 18:39,13
108,02/01/2021 18:40,6
85,02/01/2021 18:36,6
202,02/01/2021 18:43,10
102,02/01/2021 18:41,12
143,02/01/2021 18:43,14
106,02/01/2021 18:43,11
30,02/01/2021 18:45,2
170,02/01/2021 18:40,11
274,02/01/2021 18:36,5
123,02/01/2021 18:36,9
6,02/01/2021 18:44,3
213,02/01/2021 18:36,3
257,02/01/2021 18:40,5
9,02/01/2021 18:44,7
97,02/01/2021 18:40,4
49,02/01/2021 18:38,0
191,02/01/2021 18:45,15
52,02/01/2021 18:36,0
104,02/01/2021 18:38,4
19,02/01/2021 18:41,2
13,02/01/2021 18:43,0
129,02/01/2021 18:41,15
287,02/01/2021 18:40,11
212,02/01/2021 18:43,7
284,02/01/2021 18:37,8
158,02/01/2021 18:36,16
168,02/01/2021 18:37,12
179,02/01/2021 18:43,7
204,02/01/2021 18:36,18
249,02/01/2021 18:40,12
15,02/01/2021 18:35,13
247,02/01/2021 18:37,7
134,02/01/2021 18:45,6
112,02/01/2021 18:36,15
76,02/01/2021 18:42,18
193,02/01/2021 18:40,4
190,02/01/2021 18:39,9
241,02/01/2021 18:44,2
253,02/01/2021 18:38,16
89,02/01/2021 18:45,10
100,02/01/2021 18:41,13
215,02/01/2021 18:42,7
54,02/01/2021 18:39,13
8,02/01/2021 18:37,9
180,02/01/2021 18:37,18
277,02/01/2021 18:36,8
214,02/01/2021 18:41,1
114,02/01/2021 18:37,9
2,02/01/2021 18:37,0
199,02/01/2021 18:44,2
223,02/01/2021 18:37,7
164,02/01/2021 18:40,9
51,02/01/2021 18:41,16
10,02/01/2021 18:45,36
35,02/01/2021 18:37,2
250,02/01/2021 18:44,1
45,02/01/2021 18:41,19
83,02/01/2021 18:36,5
47,02/01/2021 18:43,1
231,02/01/2021 18:35,7
44,02/01/2021 18:36,7
171,02/01/2021 18:39,7
162,02/01/2021 18:45,15
31,02/01/2021 18:43,4
138,02/01/2021 18:37,9
216,02/01/2021 18:42,10
194,02/01/2021 18:39,2
98,02/01/2021 18:45,21
263,02/01/2021 18:39,7
16,02/01/2021 18:44,11
169,02/01/2021 18:44,16
39,02/01/2021 18:44,19
201,02/01/2021 18:45,1
198,02/01/2021 18:45,1
101,02/01/2021 18:39,7
258,02/01/2021 18:40,6
56,02/01/2021 18:44,0
159,02/01/2021 18:37,11
72,02/01/2021 18:42,6
146,02/01/2021 18:38,7
261,02/01/2021 18:42,6
151,02/01/2021 18:41,15
238,02/01/2021 18:43,13
80,02/01/2021 18:43,12
57,02/01/2021 18:44,7
269,02/01/2021 18:39,5
285,02/01/2021 18:42,11
58,02/01/2021 18:45,3
272,02/01/2021 18:38,9
95,02/01/2021 18:41,20
222,02/01/2021 18:41,4
92,02/01/2021 18:43,3
38,02/01/2021 18:44,25
140,02/01/2021 18:41,23
4,02/01/2021 18:41,3
136,02/01/2021 18:40,15
176,02/01/2021 18:45,7
142,02/01/2021 18:43,4
237,02/01/2021 18:45,3
28,02/01/2021 18:41,4
182,02/01/2021 18:37,7
94,02/01/2021 18:38,14
206,02/01/2021 18:41,2
127,02/01/2021 18:37,1
279,02/01/2021 18:35,6
88,02/01/2021 18:41,0
251,02/01/2021 18:38,0
226,02/01/2021 18:45,5
91,02/01/2021 18:38,11
122,02/01/2021 18:41,10
185,02/01/2021 18:40,4
27,02/01/2021 18:39,2
220,02/01/2021 18:41,4
209,02/01/2021 18:39,4
78,02/01/2021 18:45,12
26,02/01/2021 18:37,2
230,02/01/2021 18:35,8
149,02/01/2021 18:40,5
59,02/01/2021 18:42,11
42,02/01/2021 18:44,10
246,02/01/2021 18:41,13
219,02/01/2021 18:38,11
163,02/01/2021 18:42,15
99,02/01/2021 18:41,2
267,02/01/2021 18:40,9
113,02/01/2021 18:41,5
133,02/01/2021 18:40,17
148,02/01/2021 18:45,18
283,02/01/2021 18:40,12
167,02/01/2021 18:45,17
205,02/01/2021 18:41,8
265,02/01/2021 18:36,14
116,02/01/2021 18:38,5
86,02/01/2021 18:43,9
66,02/01/2021 18:40,6
34,02/01/2021 18:44,1
240,02/01/2021 18:36,8
119,02/01/2021 18:37,21
275,02/01/2021 18:40,0
18,02/01/2021 18:40,2
160,02/01/2021 18:43,14
282,02/01/2021 18:37,11
130,02/01/2021 18:42,14
12,02/01/2021 18:38,0
117,02/01/2021 18:38,11
43,02/01/2021 18:39,22
232,02/01/2021 18:40,10
61,02/01/2021 18:44,22
211,02/01/2021 18:41,4
165,02/01/2021 18:45,13
278,02/01/2021 18:43,1
270,02/01/2021 18:42,10
103,02/01/2021 18:42,13
17,02/01/2021 18:45,12
46,02/01/2021 18:45,3
218,02/01/2021 18:36,13
203,02/01/2021 18:41,17
132,02/01/2021 18:36,18
145,02/01/2021 18:37,20
32,02/01/2021 18:38,3
5,02/01/2021 18:45,14
110,02/01/2021 18:39,0
125,02/01/2021 18:43,10
63,02/01/2021 18:40,4
177,02/01/2021 18:39,7
73,02/01/2021 18:45,10
200,02/01/2021 18:37,3
14,02/01/2021 18:42,4
181,02/01/2021 18:39,14
50,02/01/2021 18:38,8
20,02/01/2021 18:45,0
155,02/01/2021 18:37,12
264,02/01/2021 18:39,5
256,02/01/2021 18:35,9
69,02/01/2021 18:45,5
157,02/01/2021 18:43,19
189,02/01/2021 18:39,11
55,02/01/2021 19:12,3
195,02/01/2021 19:15,9
29,02/01/2021 19:15,0
280,02/01/2021 19:12,13
156,02/01/2021 19:09,12
242,02/01/2021 19:09,2
224,02/01/2021 19:14,1
229,02/01/2021 19:10,2
154,02/01/2021 19:08,13
96,02/01/2021 19:07,12
65,02/01/2021 19:14,5
22,02/01/2021 19:09,6
236,02/01/2021 19:10,10
111,02/01/2021 19:08,7
152,02/01/2021 19:07,17
243,02/01/2021 19:11,15
174,02/01/2021 19:15,14
276,02/01/2021 19:07,3
77,02/01/2021 19:10,3
137,02/01/2021 19:09,12
144,02/01/2021 19:15,15
40,02/01/2021 19:14,11
25,02/01/2021 19:14,2
74,02/01/2021 19:08,6
71,02/01/2021 19:10,4
105,02/01/2021 19:13,7
64,02/01/2021 19:08,7
3,02/01/2021 19:07,0
93,02/01/2021 19:10,15
139,02/01/2021 19:10,13
81,02/01/2021 19:08,27
60,02/01/2021 19:11,21
36,02/01/2021 19:08,8
227,02/01/2021 19:13,0
248,02/01/2021 19:09,14
53,02/01/2021 19:13,3
187,02/01/2021 19:12,7
87,02/01/2021 19:14,6
225,02/01/2021 19:10,5
121,02/01/2021 19:12,4
84,02/01/2021 19:13,6
208,02/01/2021 19:08,4
131,02/01/2021 19:15,15
239,02/01/2021 19:06,16
1,02/01/2021 19:10,0
37,02/01/2021 19:15,11
7,02/01/2021 19:09,19
259,02/01/2021 19:06,13
234,02/01/2021 19:08,13
192,02/01/2021 19:15,3
48,02/01/2021 19:15,4
175,02/01/2021 19:08,21
266,02/01/2021 19:12,10
166,02/01/2021 19:14,7
135,02/01/2021 19:12,12
79,02/01/2021 19:07,6
210,02/01/2021 19:15,11
75,02/01/2021 19:11,6
115,02/01/2021 19:14,12
221,02/01/2021 19:12,10
128,02/01/2021 19:14,21
67,02/01/2021 19:10,14
188,02/01/2021 19:10,5
118,02/01/2021 19:15,8
178,02/01/2021 19:11,9
41,02/01/2021 19:09,5
90,02/01/2021 19:15,1
68,02/01/2021 19:13,2
147,02/01/2021 19:07,10
109,02/01/2021 19:13,2
153,02/01/2021 19:06,15
262,02/01/2021 19:12,8
197,02/01/2021 19:09,0
